id,target
300000,0.35249513
300001,0.7348595
300002,0.14419547
300003,0.43721142
300004,0.8653785
300005,0.1590066
300006,0.44324115
300007,0.16823924
300008,0.52908826
300009,0.44866133
300010,0.3560883
300011,0.3894696
300012,0.46347308
300013,0.36409152
300014,0.28444862
300015,0.60100937
300016,0.11348751
300017,0.6495369
300018,0.40839374
300019,0.6716068
300020,0.47297063
300021,0.4504301
300022,0.081947416
300023,0.032973677
300024,0.16078976
300025,0.03027153
300026,0.0791128
300027,0.044922292
300028,0.0850257
300029,0.72751784
300030,0.15463299
300031,0.15541723
300032,0.26277697
300033,0.08287722
300034,0.084884524
300035,0.33054078
300036,0.19677842
300037,0.086606205
300038,0.42053115
300039,0.79035044
300040,0.13635117
300041,0.09089464
300042,0.21251833
300043,0.35343784
300044,0.452266
300045,0.16196704
300046,0.076824546
300047,0.5294879
300048,0.64513564
300049,0.19386792
300050,0.07045835
300051,0.76178193
300052,0.07385722
300053,0.07395035
300054,0.7293054
300055,0.108918965
300056,0.09673321
300057,0.089075595
300058,0.31232023
300059,0.5090133
300060,0.18587601
300061,0.63947034
300062,0.20250058
300063,0.5814477
300064,0.041821122
300065,0.61381435
300066,0.30292004
300067,0.3638453
300068,0.42665243
300069,0.69747835
300070,0.644526
300071,0.45755884
300072,0.14986658
300073,0.33123392
300074,0.26857942
300075,0.32344538
300076,0.55663496
300077,0.1366972
300078,0.3639297
300079,0.078884095
300080,0.023637503
300081,0.19960624
300082,0.89767385
300083,0.32069767
300084,0.35095045
300085,0.24406356
300086,0.1997649
300087,0.24722832
300088,0.29521686
300089,0.08886218
300090,0.6139071
300091,0.52213126
300092,0.190568
300093,0.26791528
300094,0.32190156
300095,0.17083418
300096,0.08066812
300097,0.33311248
300098,0.06530002
300099,0.0746932
300100,0.23161912
300101,0.8088534
300102,0.2727119
300103,0.10256034
300104,0.280904
300105,0.24768496
300106,0.3579458
300107,0.14400348
300108,0.5677049
300109,0.37258095
300110,0.16797054
300111,0.008235097
300112,0.47772345
300113,0.655698
300114,0.14371166
300115,0.19861585
300116,0.7244106
300117,0.5046184
300118,0.40679967
300119,0.22663555
300120,0.2661304
300121,0.5454028
300122,0.33236217
300123,0.45736045
300124,0.24972105
300125,0.23903623
300126,0.23756042
300127,0.57588226
300128,0.23632696
300129,0.64207685
300130,0.25332516
