id,target
300000,0.59031534
300001,0.815103
300002,0.17405745
300003,0.50714386
300004,0.85456264
300005,0.19789529
300006,0.30310312
300007,0.14330323
300008,0.71596694
300009,0.44887742
300010,0.30583593
300011,0.39623922
300012,0.5933501
300013,0.46909037
300014,0.1936164
300015,0.79520476
300016,0.108591095
300017,0.7022563
300018,0.43553653
300019,0.70046455
300020,0.6711144
300021,0.5833202
300022,0.0337535
300023,0.02129528
300024,0.17413501
300025,0.0302813
300026,0.045961056
300027,0.02270285
300028,0.09467194
300029,0.7492022
300030,0.1521196
300031,0.11951472
300032,0.38994706
300033,0.10272221
300034,0.07780133
300035,0.3439546
300036,0.22120011
300037,0.0847833
300038,0.42490712
300039,0.75810486
300040,0.17123969
300041,0.09815933
300042,0.12831196
300043,0.4275107
300044,0.5924378
300045,0.17559634
300046,0.069851525
300047,0.5554062
300048,0.72966784
300049,0.30404714
300050,0.0487197
300051,0.7741459
300052,0.066642456
300053,0.06693682
300054,0.7826729
300055,0.046458263
300056,0.087011635
300057,0.10860156
300058,0.2275347
300059,0.6570694
300060,0.15145952
300061,0.6281379
300062,0.2624056
300063,0.6483342
300064,0.03019617
300065,0.72273326
300066,0.35331047
300067,0.48960853
300068,0.5971989
300069,0.7095213
300070,0.7758085
300071,0.5853634
300072,0.108183116
300073,0.5639311
300074,0.44052702
300075,0.36842182
300076,0.72030294
300077,0.1488753
300078,0.407783
300079,0.118186615
300080,0.041845154
300081,0.22522132
300082,0.87690717
300083,0.42280492
300084,0.36685696
300085,0.24246152
300086,0.18343893
300087,0.23126043
300088,0.30068973
300089,0.106890455
300090,0.71515995
300091,0.61022854
300092,0.29471073
300093,0.31384647
300094,0.1988871
300095,0.14850861
300096,0.11539052
300097,0.4902997
300098,0.0761486
300099,0.070527986
300100,0.1413812
300101,0.866501
300102,0.23598644
300103,0.08429752
300104,0.28188694
300105,0.31415576
300106,0.31609425
300107,0.16561736
300108,0.5801341
300109,0.60714597
300110,0.15068157
300111,0.0012348214
300112,0.48838776
300113,0.65988547
300114,0.15329656
300115,0.14059848
300116,0.74235266
300117,0.6173463
300118,0.5725895
300119,0.2003335
300120,0.25792
300121,0.66862535
300122,0.33767208
300123,0.64123654
300124,0.18101284
300125,0.1967414
300126,0.26436028
300127,0.6545336
300128,0.23764971
300129,0.60049045
300130,0.25462666
300131,0.20109506
300132,0.16929919
300133,0.6155046
300134,0.7824842
300135,0.08233094
300136,0.025531167
300137,0.6982262
300138,0.93410695
300139,0.24322025
300140,0.44343972
300141,0.010102783
300142,0.046316095
300143,0.58642405
300144,0.5601143
300145,0.37848356
300146,0.80936587
300147,0.18667468
300148,0.09596721
300149,0.061319962
300150,0.109228365
300151,0.047967378
300152,0.11323208
300153,0.29498625
